location,primary_source,mistry_2021,prem_2021,prem_2017
Japan_Toyama-ken,mistry_2021,True,False,False
Japan_Wakayama-ken,mistry_2021,True,False,False
Japan_Yamagata-ken,mistry_2021,True,False,False
Japan_Yamaguchi-ken,mistry_2021,True,False,False
Japan_Yamanashi-ken,mistry_2021,True,False,False
Jordan,prem_2021,False,True,True
Kazakhstan,prem_2021,False,True,True
Kenya,prem_2021,False,True,True
Kiribati,prem_2017,False,False,True
Kuwait,prem_2021,False,True,True
Kyrgyzstan,prem_2021,False,True,True
Laos,prem_2021,False,True,True
Latvia,mistry_2021,True,True,True
Lebanon,prem_2017,False,False,True
Lesotho,prem_2021,False,True,True
Liberia,prem_2021,False,True,True
Libya,prem_2021,False,True,False
Lithuania,mistry_2021,True,True,True
Luxembourg,mistry_2021,True,True,True
Macao,prem_2021,False,True,False
Madagascar,prem_2021,False,True,False
Malawi,prem_2021,False,True,False
Malaysia,prem_2021,False,True,True
Maldives,prem_2021,False,True,True
Mali,prem_2021,False,True,False
Malta,prem_2021,False,True,True
Mauritania,prem_2021,False,True,True
Mauritius,prem_2021,False,True,True
Mexico,prem_2021,False,True,True
Moldova,prem_2021,False,True,False
Monaco,prem_2017,False,False,True
Mongolia,prem_2021,False,True,True
Montenegro,prem_2021,False,True,True
Morocco,prem_2021,False,True,True
Mozambique,prem_2021,False,True,True
Myanmar,prem_2021,False,True,False
Namibia,prem_2021,False,True,True
Nepal,prem_2021,False,True,True
Netherlands,mistry_2021,True,True,True
New_Zealand,prem_2021,False,True,True
Nicaragua,prem_2021,False,True,True
Niger,prem_2021,False,True,True
Nigeria,prem_2021,False,True,True
North_Korea,prem_2021,False,True,False
North_Macedonia,prem_2021,False,True,True
Norway,mistry_2021,True,True,False
Oman,prem_2021,False,True,True
Pakistan,prem_2021,False,True,True
Palestine,prem_2021,False,True,False
Panama,prem_2021,False,True,True
Papua_New_Guinea,prem_2021,False,True,False
Paraguay,prem_2021,False,True,True
Peru,prem_2021,False,True,True
Philippines,prem_2021,False,True,True
Poland,prem_2021,False,True,True
Portugal,mistry_2021,True,True,True
Puerto_Rico,prem_2021,False,True,False
Qatar,prem_2021,False,True,True
Romania,mistry_2021,True,True,True
Russia,mistry_2021,True,True,True
Russia_Adygea,mistry_2021,True,False,False
Russia_Altai_Krai,mistry_2021,True,False,False
Russia_Altai_Republic,mistry_2021,True,False,False
Russia_Amur_Oblast,mistry_2021,True,False,False
Russia_Arkhangelsk_Oblast,mistry_2021,True,False,False
Russia_Astrakhan_Oblast,mistry_2021,True,False,False
Russia_Bashkortostan,mistry_2021,True,False,False
Russia_Belgorod_Oblast,mistry_2021,True,False,False
Russia_Bryansk_Oblast,mistry_2021,True,False,False
Russia_Buryatia,mistry_2021,True,False,False
Russia_Chechnya,mistry_2021,True,False,False
Russia_Chelyabinsk_Oblast,mistry_2021,True,False,False
Russia_Chukotka,mistry_2021,True,False,False
Russia_Chuvashia,mistry_2021,True,False,False
Russia_Dagestan,mistry_2021,True,False,False
Russia_Ingushetia,mistry_2021,True,False,False
Russia_Irkutsk_Oblast,mistry_2021,True,False,False
Russia_Ivanovo_Oblast,mistry_2021,True,False,False
Russia_Jewish_Autonomous_Oblast,mistry_2021,True,False,False
Russia_Kabardino_Balkaria,mistry_2021,True,False,False
Russia_Kaliningrad_Oblast,mistry_2021,True,False,False
Russia_Kalmykia,mistry_2021,True,False,False
Russia_Kaluga_Oblast,mistry_2021,True,False,False
Russia_Kamchatka_Krai,mistry_2021,True,False,False
Russia_Karachay_Cherkessia,mistry_2021,True,False,False
Russia_Karelia,mistry_2021,True,False,False
Russia_Kemerovo_Oblast,mistry_2021,True,False,False
Russia_Khabarovsk_Krai,mistry_2021,True,False,False
Russia_Khakassia,mistry_2021,True,False,False
Russia_Khanty_Mansi_Autonomous_Okrug,mistry_2021,True,False,False
Russia_Kirov_Oblast,mistry_2021,True,False,False
Russia_Komi_Republic,mistry_2021,True,False,False
Russia_Kostroma_Oblast,mistry_2021,True,False,False
Russia_Krasnodar_Krai,mistry_2021,True,False,False
Russia_Krasnoyarsk_Krai,mistry_2021,True,False,False
Russia_Kurgan_Oblast,mistry_2021,True,False,False
Russia_Kursk_Oblast,mistry_2021,True,False,False
Russia_Leningrad_Oblast,mistry_2021,True,False,False
Russia_Lipetsk_Oblast,mistry_2021,True,False,False
Russia_Magadan_Oblast,mistry_2021,True,False,False
Russia_Mari_El,mistry_2021,True,False,False
Russia_Mordovia,mistry_2021,True,False,False
Russia_Moscow,mistry_2021,True,False,False
Russia_Moscow_Oblast,mistry_2021,True,False,False
Russia_Murmansk_Oblast,mistry_2021,True,False,False
Russia_Nenets_Autonomous_Okrug,mistry_2021,True,False,False
Russia_Nizhny_Novgorod_Oblast,mistry_2021,True,False,False
Russia_North_Ossetia_Alania,mistry_2021,True,False,False
Russia_Novgorod_Oblast,mistry_2021,True,False,False
Russia_Novosibirsk_Oblast,mistry_2021,True,False,False
Russia_Omsk_Oblast,mistry_2021,True,False,False
Russia_Orenburg_Oblast,mistry_2021,True,False,False
Russia_Oryol_Oblast,mistry_2021,True,False,False
Russia_Penza_Oblast,mistry_2021,True,False,False
Russia_Perm_Krai,mistry_2021,True,False,False
Russia_Primorsky_Krai,mistry_2021,True,False,False
Russia_Pskov_Oblast,mistry_2021,True,False,False
Russia_Rostov_Oblast,mistry_2021,True,False,False
Russia_Ryazan_Oblast,mistry_2021,True,False,False
Russia_Sakha,mistry_2021,True,False,False
Russia_Sakhalin_Oblast,mistry_2021,True,False,False
Russia_Samara_Oblast,mistry_2021,True,False,False
Russia_Saratov_Oblast,mistry_2021,True,False,False
Russia_Smolensk_Oblast,mistry_2021,True,False,False
Russia_St._Petersburg,mistry_2021,True,False,False
Russia_Stavropol_Krai,mistry_2021,True,False,False
Russia_Sverdlovsk_Oblast,mistry_2021,True,False,False
Russia_Tambov_Oblast,mistry_2021,True,False,False
Russia_Tatarstan,mistry_2021,True,False,False
Russia_Tomsk_Oblast,mistry_2021,True,False,False
Russia_Tula_Oblast,mistry_2021,True,False,False
Russia_Tuva,mistry_2021,True,False,False
Russia_Tver_Oblast,mistry_2021,True,False,False
Russia_Tyumen_Oblast,mistry_2021,True,False,False
Russia_Udmurtia,mistry_2021,True,False,False
Russia_Ulyanovsk_Oblast,mistry_2021,True,False,False
Russia_Vladimir_Oblast,mistry_2021,True,False,False
Russia_Volgograd_Oblast,mistry_2021,True,False,False
Russia_Vologda_Oblast,mistry_2021,True,False,False
Russia_Voronezh_Oblast,mistry_2021,True,False,False
Russia_Yamalo_Nenets_Autonomous_Okrug,mistry_2021,True,False,False
Russia_Yaroslavl_Oblast,mistry_2021,True,False,False
Russia_Zabaykalsky_Krai,mistry_2021,True,False,False
Rwanda,prem_2021,False,True,True
Saint_Lucia,prem_2021,False,True,True
Saint_Vincent_and_the_Grenadines,prem_2021,False,True,False
Samoa,prem_2021,False,True,True
Sao_Tome_and_Principe,prem_2021,False,True,True
Saudi_Arabia,prem_2021,False,True,True
Senegal,prem_2021,False,True,True
Serbia,prem_2021,False,True,True
Seychelles,prem_2017,False,False,True
Sierra_Leone,prem_2021,False,True,True
Singapore,prem_2021,False,True,True
Slovakia,mistry_2021,True,True,True
Slovenia,mistry_2021,True,True,True
Solomon_Islands,prem_2021,False,True,True
South_Africa,mistry_2021,True,True,True
South_Africa_Eastern_Cape,mistry_2021,True,False,False
South_Africa_Free_State,mistry_2021,True,False,False
South_Africa_Gauteng,mistry_2021,True,False,False
South_Africa_KwaZulu-Natal,mistry_2021,True,False,False
South_Africa_Limpopo,mistry_2021,True,False,False
South_Africa_Mpumalanga,mistry_2021,True,False,False
South_Africa_North_West,mistry_2021,True,False,False
South_Africa_Northern_Cape,mistry_2021,True,False,False
South_Africa_Western_Cape,mistry_2021,True,False,False
South_Korea,prem_2021,False,True,True
South_Sudan,prem_2021,False,True,False
Spain,mistry_2021,True,True,True
Sri_Lanka,prem_2021,False,True,True
Sudan,prem_2021,False,True,False
Suriname,prem_2021,False,True,True
